date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:49	99212/99212	---M--	200	added ('OK')	font/ttf	etag:%22d25fae-1838c-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/iconic/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/iconic/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/iconic/css/material-design-iconic-font.min.css)
11:18:49	2904/2904	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d260ac-b58-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.eot?	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lgd41d.eot	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:50	2836/2836	---M--	200	added ('OK')	font/woff	etag:%22d260af-b14-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.woff	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.woff	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:51	2760/2760	---M--	200	added ('OK')	font/ttf	etag:%22d260ae-ac8-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.ttf	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.ttf	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:51	4730/4730	---M--	200	added ('OK')	image/svg+xml	etag:%22d260ad-127a-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.svg	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/fonts/lg.svg	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:52	5428/5428	---M--	200	added ('OK')	image/png	etag:%22d260b3-1534-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/vimeo-play.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/vimeo-play.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:52	4526/4526	---M--	200	added ('OK')	image/png	etag:%22d260b2-11ae-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/video-play.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/video-play.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:53	5177/5177	---M--	200	added ('OK')	image/png	etag:%22d260b4-1439-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/youtube-play.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/youtube-play.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:54	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22d260b1-1052-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/loading.gif	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/img/loading.gif	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/light-gallery/css/lightgallery.css)
11:18:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:53%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/owl-carousel/grabbing.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/owl-carousel/grabbing.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/owl-carousel/owl.carousel.css)
11:18:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:18:53%20GMT	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/owl-carousel/AjaxLoader.gif	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/owl-carousel/AjaxLoader.gif	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/owl-carousel/owl.theme.css)
11:18:55	4143/4143	---M--	200	added ('OK')	image/png	etag:%22d25edf-102f-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/saturation.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/saturation.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css)
11:18:56	504/504	---M--	200	added ('OK')	image/png	etag:%22d25ede-1f8-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css)
11:18:56	488/488	---M--	200	added ('OK')	image/png	etag:%22d25edc-1e8-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css)
11:18:56	478/478	---M--	200	added ('OK')	image/png	etag:%22d25edd-1de-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue-horizontal.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/hue-horizontal.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css)
11:18:57	557/557	---M--	200	added ('OK')	image/png	etag:%22d25edb-22d-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha-horizontal.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/img/bootstrap-colorpicker/alpha-horizontal.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css)
11:18:58	1849/1849	---M--	200	added ('OK')	image/gif	etag:%22d25f41-739-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-editable/bootstrap-editable/img/loading.gif	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-editable/bootstrap-editable/img/loading.gif	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css)
11:18:58	509/509	---M--	200	added ('OK')	image/png	etag:%22d25f40-1fd-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-editable/bootstrap-editable/img/clear.png	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-editable/bootstrap-editable/img/clear.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/plugins/bootstrap-editable/bootstrap-editable/css/bootstrap-editable.css)
11:19:07	600593/600593	---M--	200	added ('OK')	application/javascript	etag:%22d25f91-92a11-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/plugins/echarts/echarts.js	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/plugins/echarts/echarts.js	(from http://radixtouch.in/templates/admin/hotel/source/charts_echarts.html)
11:19:12	3224/3224	---M--	200	added ('OK')	image/png	etag:%221505847557%22	https://preview.w3layouts.com/demos/flat_pricing_tables_design/web/images/calender.png	C:/My%20Web%20Sites/hotelAdmin2/preview.w3layouts.com/demos/flat_pricing_tables_design/web/images/calender.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/css/pages/pricing.css)
11:19:14	8027/8027	---M--	200	added ('OK')	image/png	etag:%221505847557%22	https://preview.w3layouts.com/demos/flat_pricing_tables_design/web/images/icon.png	C:/My%20Web%20Sites/hotelAdmin2/preview.w3layouts.com/demos/flat_pricing_tables_design/web/images/icon.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/css/pages/pricing.css)
11:19:14	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Mar%202021%2019:19:13%20GMT	https://preview.w3layouts.com/demos/flat_pricing_tables_design/web/images/filter-bg.png	C:/My%20Web%20Sites/hotelAdmin2/preview.w3layouts.com/demos/flat_pricing_tables_design/web/images/filter-bg.png	(from http://radixtouch.in/templates/admin/hotel/source/assets/css/pages/pricing.css)
11:19:49	1247195/1247195	---M--	200	added ('OK')	image/jpeg	etag:%22d25d40-1307db-597665d759a80%22	http://radixtouch.in/templates/admin/hotel/source/assets/img/bg-01.jpg	C:/My%20Web%20Sites/hotelAdmin2/radixtouch.in/templates/admin/hotel/source/assets/img/bg-01.jpg	(from http://radixtouch.in/templates/admin/hotel/source/assets/css/pages/extra_pages.css)
